tree_id,site_order,permit_notes,site_info,plant_type,plant_date
48112,278,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45932,43,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
66485,1,Permit Number 29643,Sidewalk: Curb side : Cutout,Tree,1991-01-31 00:00:00 UTC
48109,282,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44610,174,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
48084,194,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44608,172,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44909,132,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44617,181,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
48123,291,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
34969,1,Permit Number 38555,Sidewalk: Curb side : Cutout,Tree,1997-12-18 00:00:00 UTC
44834,6,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
45768,2,Permit Number 44413,Sidewalk: Curb side : Cutout,Tree,2001-10-24 00:00:00 UTC
48263,127,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
46044,173,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
45920,66,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48261,125,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44832,4,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
48291,101,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
57222,1,Permit Number 14509,Sidewalk: Curb side : Cutout,Tree,1975-01-09 00:00:00 UTC
45982,125,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
43487,3,Permit Number 43169,Sidewalk: Curb side : Cutout,Tree,2000-07-19 00:00:00 UTC
48177,70,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44628,156,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44952,65,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44944,177,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44954,67,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
34335,21,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
34115,2,Permit Number 37978,Sidewalk: Curb side : Cutout,Tree,1997-07-05 00:00:00 UTC
48168,61,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48279,89,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
58906,1,Permit Number 18181,Sidewalk: Curb side : Cutout,Tree,1980-03-03 00:00:00 UTC
35743,1,Permit Number 39016,Sidewalk: Curb side : Cutout,Tree,1998-04-15 00:00:00 UTC
44957,70,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
30483,4,Permit Number 147,Sidewalk: Curb side : Cutout,Tree,1956-09-05 00:00:00 UTC
44940,163,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
46024,203,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
34317,28,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
34857,7,Permit Number 38478,Sidewalk: Curb side : Cutout,Tree,
45770,1,Permit Number 44413,Sidewalk: Curb side : Cutout,Tree,2001-10-24 00:00:00 UTC
48118,286,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48225,7,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48283,93,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44681,101,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
36871,1,Permit Number 39538,Sidewalk: Curb side : Cutout,Tree,1998-05-26 00:00:00 UTC
48339,156,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45871,87,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48102,211,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48318,184,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
46199,7,Permit Number 44518,Sidewalk: Curb side : Cutout,Tree,2001-12-31 00:00:00 UTC
35194,10,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
84710,4,Permit No. 49325,Sidewalk: Curb side : Cutout,Tree,2007-05-17 00:00:00 UTC
34338,4,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
44622,159,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
48200,42,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48180,73,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48475,9,Permit Number 45832,Sidewalk: Curb side : Cutout,Tree,
44587,39,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
46059,101,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
46308,11,Permit Number 44564,Sidewalk: Curb side : Cutout,Tree,2002-01-31 00:00:00 UTC
44540,29,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
48198,40,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48231,15,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
36854,1,Permit Number 39538,Sidewalk: Curb side : Cutout,Tree,1998-05-26 00:00:00 UTC
45897,17,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
44975,47,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
93932,,Permit Number 53387,Front Yard : Yard,Tree,2010-04-28 00:00:00 UTC
48090,200,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
35193,11,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
35798,1,Permit Number 39046,Sidewalk: Curb side : Cutout,Tree,1998-04-22 00:00:00 UTC
48080,204,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
66371,1,Permit Number 29495,Sidewalk: Curb side : Cutout,Tree,1991-01-04 00:00:00 UTC
34336,13,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
61453,1,Permit Number 21392,Sidewalk: Curb side : Cutout,Tree,1984-06-22 00:00:00 UTC
34861,2,Permit Number 38478,Sidewalk: Curb side : Cutout,Tree,
63107,1,Permit Number 23607,Sidewalk: Curb side : Cutout,Tree,1986-12-05 00:00:00 UTC
45901,21,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
44677,76,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
36642,12,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
48145,255,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
65943,1,Permit Number 28964,Sidewalk: Curb side : Cutout,Tree,1990-06-04 00:00:00 UTC
36640,14,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
46883,1,Permit Number 44941,Sidewalk: Curb side : Cutout,Tree,2002-04-26 00:00:00 UTC
34135,4,Permit Number 37986,Sidewalk: Curb side : Cutout,Tree,1997-07-05 00:00:00 UTC
44886,159,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
45944,133,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
45003,115,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44917,190,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
97355,5,"",Unaccepted Street : Yard,Tree,
48172,65,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48129,297,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44879,123,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44942,175,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
45847,86,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
44639,157,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44906,140,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44902,136,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
45893,13,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
34307,29,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
45877,31,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48215,33,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48085,195,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
46014,200,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
44882,155,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
36838,4,Permit Number 39538,Sidewalk: Curb side : Cutout,Tree,1998-05-26 00:00:00 UTC
48203,46,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
36617,8,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
46306,19,Permit Number 44564,Sidewalk: Curb side : Cutout,Tree,2002-01-31 00:00:00 UTC
48324,176,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
46004,190,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48205,48,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44943,176,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
45895,15,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48310,164,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
36639,15,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
48201,44,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48113,279,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44669,51,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44686,106,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
48153,263,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
46149,1,Permit Number 44491,Sidewalk: Curb side : Cutout,Tree,2001-12-27 00:00:00 UTC
45007,119,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
45947,144,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
47475,1,Permit Number 45375,Sidewalk: Curb side : Cutout,Tree,2002-05-14 00:00:00 UTC
34120,1,Permit Number 37980,Sidewalk: Curb side : Cutout,Tree,1997-07-05 00:00:00 UTC
44588,116,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44532,37,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
35700,14,Permit Number 38993,Sidewalk: Curb side : Cutout,Tree,1998-04-10 00:00:00 UTC
45919,65,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
34321,19,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
46192,6,Permit Number 44518,Sidewalk: Curb side : Cutout,Tree,2001-12-31 00:00:00 UTC
48187,80,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48149,259,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48334,144,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45845,81,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
44969,71,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44947,180,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44931,122,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
48239,23,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44908,164,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
45959,164,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
46061,103,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48306,172,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44939,172,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
36836,2,Permit Number 39538,Sidewalk: Curb side : Cutout,Tree,1998-05-26 00:00:00 UTC
36565,6,Permit Number 39428,Sidewalk: Curb side : Cutout,Tree,1998-05-19 00:00:00 UTC
48482,4,Permit Number 45832,Sidewalk: Curb side : Cutout,Tree,2002-08-15 00:00:00 UTC
36633,22,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
48236,20,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44577,131,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
45935,46,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48073,239,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
36622,4,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
48191,32,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48184,77,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
84720,3,Permit No. 49313,Sidewalk: Curb side : Cutout,Tree,2007-05-07 00:00:00 UTC
44893,127,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
48146,256,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
46200,2,Permit Number 44518,Sidewalk: Curb side : Cutout,Tree,2001-12-31 00:00:00 UTC
45386,5,Permit Number 44200,Sidewalk: Curb side : Cutout,Tree,2001-07-06 00:00:00 UTC
48254,118,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44581,145,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
46148,2,Permit Number 44491,Sidewalk: Curb side : Cutout,Tree,2001-12-27 00:00:00 UTC
48220,2,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48274,84,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
46726,3,Permit Number 44843,Sidewalk: Curb side : Cutout,Tree,2002-04-24 00:00:00 UTC
35175,7,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
44636,164,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
45379,4,Permit Number 44200,Sidewalk: Curb side : Cutout,Tree,
34337,14,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
45989,222,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
46293,9,Permit Number 44564,Sidewalk: Curb side : Cutout,Tree,2002-01-31 00:00:00 UTC
35184,6,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
48481,5,Permit Number 45832,Sidewalk: Curb side : Cutout,Tree,2002-08-15 00:00:00 UTC
48316,182,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
35701,13,Permit Number 38993,Sidewalk: Curb side : Cutout,Tree,1998-04-10 00:00:00 UTC
97356,6,"",Unaccepted Street : Yard,Tree,
34004,3,Permit Number 37940,Sidewalk: Curb side : Cutout,Tree,
44884,157,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44650,70,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
43481,9,Permit Number 43169,Sidewalk: Curb side : Cutout,Tree,2000-07-19 00:00:00 UTC
44625,153,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
33930,5,Permit Number 37893,Sidewalk: Curb side : Cutout,Tree,1997-03-25 00:00:00 UTC
48174,67,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44915,188,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
36647,19,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
38804,2,Permit Number 40645,Sidewalk: Curb side : Cutout,Tree,1998-10-23 00:00:00 UTC
45979,128,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
35187,17,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
44896,130,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
36626,7,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
48165,28,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44679,99,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
45028,101,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
45887,2,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
35799,2,Permit Number 39046,Sidewalk: Curb side : Cutout,Tree,1998-04-22 00:00:00 UTC
38798,10,Permit Number 40645,Sidewalk: Curb side : Cutout,Tree,1998-10-23 00:00:00 UTC
45024,97,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44868,27,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
38805,1,Permit Number 40645,Sidewalk: Curb side : Cutout,Tree,1998-10-23 00:00:00 UTC
45001,102,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
34132,3,Permit Number 37986,Sidewalk: Curb side : Cutout,Tree,1997-07-05 00:00:00 UTC
60867,1,Permit Number 20649,Sidewalk: Curb side : Cutout,Tree,1983-04-25 00:00:00 UTC
44623,151,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
48292,102,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
35183,1,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
48053,229,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
35278,5,Permit Number 38758,Sidewalk: Curb side : Cutout,Tree,1998-02-17 00:00:00 UTC
34122,1,Permit Number 37981,Sidewalk: Curb side : Cutout,Tree,1997-07-05 00:00:00 UTC
34330,8,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
48156,266,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48313,179,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45881,7,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48188,69,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48293,103,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45963,160,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48322,188,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48308,174,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45976,131,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
35189,15,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
46047,170,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
45940,69,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
44603,121,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
46305,8,Permit Number 44564,Sidewalk: Curb side : Cutout,Tree,2002-01-31 00:00:00 UTC
36857,1,Permit Number 39538,Sidewalk: Curb side : Cutout,Tree,1998-05-26 00:00:00 UTC
43484,6,Permit Number 43169,Sidewalk: Curb side : Cutout,Tree,2000-07-19 00:00:00 UTC
48065,219,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48136,260,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45981,126,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
45029,91,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44660,42,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44621,175,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44710,94,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44620,184,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
46719,3,Permit Number 44843,Sidewalk: Curb side : Cutout,Tree,2002-04-24 00:00:00 UTC
34904,3,Permit Number 38505,Sidewalk: Curb side : Cutout,Tree,1997-09-05 00:00:00 UTC
48470,12,Permit Number 45832,Sidewalk: Curb side : Cutout,Tree,
44560,15,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44559,16,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
48054,228,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45936,47,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
44999,103,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
62946,1,Permit Number 23328,Sidewalk: Curb side : Cutout,Tree,1984-09-13 00:00:00 UTC
46147,1,Permit Number 44490,Sidewalk: Curb side : Cutout,Tree,2001-12-27 00:00:00 UTC
46291,4,Permit Number 44564,Sidewalk: Curb side : Cutout,Tree,2002-01-31 00:00:00 UTC
46885,3,Permit Number 44941,Sidewalk: Curb side : Cutout,Tree,2002-04-26 00:00:00 UTC
45849,76,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
46000,118,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
35282,2,Permit Number 38758,Sidewalk: Curb side : Cutout,Tree,1998-02-17 00:00:00 UTC
